"Notes","County","County Code",Births,Total Population,Birth Rate,Female Population,Fertility Rate,Average Birth Weight,Standard Deviation for Average Birth Weight,Average Age of Mother,Standard Deviation for Average Age of Mother,Average LMP Gestational Age,Standard Deviation for Average LMP Gestational Age,Average OE Gestational Age,Standard Deviation for Average OE Gestational Age
,"Unidentified Counties, KS","20999",16623,1343990,12.37,242933,68.43,3307.98,572.42,27.41,5.39,38.49,2.11,38.48,2.01
,"Boone County, KY","21015",1716,130728,13.13,25193,68.11,3330.37,561.53,28.80,5.35,38.84,2.50,38.48,1.83
,"Fayette County, KY","21067",3912,321959,12.15,73550,53.19,3270.64,600.36,28.95,5.52,38.54,2.22,38.35,2.04
,"Hardin County, KY","21093",1449,108071,13.41,20584,70.39,3286.19,608.99,27.12,5.56,38.53,2.62,38.29,2.12
,"Jefferson County, KY","21111",9908,771158,12.85,152943,64.78,3246.00,628.36,28.54,5.62,38.64,2.80,38.32,2.28
,"Kenton County, KY","21117",2331,165399,14.09,32258,72.26,3254.88,621.58,28.28,5.35,38.60,2.65,38.31,2.20
,"Warren County, KY","21227",1714,128845,13.30,29426,58.25,3269.37,587.13,27.87,5.54,38.51,2.65,38.39,1.94
,"Unidentified Counties, KY","21999",33722,2828029,11.92,514518,65.54,3258.62,606.25,26.64,5.55,38.50,2.59,38.21,2.09
,"Ascension Parish, LA","22005",1704,122948,13.86,25154,67.74,3227.31,572.15,28.40,5.37,38.23,2.14,38.20,2.03
,"Bossier Parish, LA","22015",1627,127634,12.75,25902,62.81,3169.94,631.79,27.63,5.43,38.11,2.85,37.91,2.40
,"Caddo Parish, LA","22017",3231,246581,13.10,48671,66.38,3057.91,652.68,27.05,5.77,37.69,3.29,37.66,2.71
,"Calcasieu Parish, LA","22019",2987,202445,14.75,40520,73.72,3157.50,595.98,26.68,5.56,38.24,2.80,38.02,2.15
,"East Baton Rouge Parish, LA","22033",5975,446268,13.39,100608,59.39,3138.55,616.17,27.85,5.71,38.12,2.53,38.08,2.37
,"Jefferson Parish, LA","22051",5835,439036,13.29,84740,68.86,3195.16,577.50,28.46,5.69,38.39,2.60,38.28,2.04
,"Lafayette Parish, LA","22055",3339,242485,13.77,52037,64.17,3254.73,576.93,28.22,5.48,38.62,2.39,38.41,1.98
,"Livingston Parish, LA","22063",1828,138228,13.22,28315,64.56,3245.16,572.14,27.43,5.38,38.37,2.20,38.24,1.97
,"Orleans Parish, LA","22071",4619,393292,11.74,89676,51.51,3120.89,613.50,28.97,5.88,38.36,2.92,38.16,2.31
,"Ouachita Parish, LA","22073",2152,155874,13.81,32327,66.57,3114.78,614.43,26.66,5.45,37.94,2.87,37.86,2.30
,"Rapides Parish, LA","22079",1724,131648,13.10,25372,67.95,3153.02,609.78,26.70,5.53,35.75,3.33,38.12,2.28
,"St. Tammany Parish, LA","22103",2865,256327,11.18,47116,60.81,3270.15,586.96,29.10,5.46,38.47,2.44,38.29,2.04
,"Tangipahoa Parish, LA","22105",1986,132497,14.99,27580,72.01,3176.75,583.55,27.00,5.53,38.32,2.74,38.21,2.09
,"Terrebonne Parish, LA","22109",1544,112086,13.78,21898,70.51,3147.05,595.96,27.06,5.53,38.16,2.51,37.99,2.13
,"Unidentified Counties, LA","22999",19602,1536984,12.75,286190,68.49,3170.52,599.68,26.61,5.46,38.02,2.81,38.06,2.21
,"Androscoggin County, ME","23001",1241,107651,11.53,19705,62.98,3329.48,578.43,28.38,5.56,39.05,2.24,38.84,1.96
,"Cumberland County, ME","23005",2733,292500,9.34,55394,49.34,3359.75,590.42,30.85,5.09,38.85,2.20,38.75,2.07
,"Kennebec County, ME","23011",1132,121821,9.29,21247,53.28,3319.82,623.71,28.17,5.28,38.81,2.60,38.56,2.36
,"Penobscot County, ME","23019",1433,151957,9.43,28577,50.15,3344.38,599.49,28.53,5.52,38.68,2.22,38.63,2.05
,"York County, ME","23031",1812,204191,8.87,35012,51.75,3348.42,584.08,29.07,5.38,38.81,2.34,38.64,2.08
,"Unidentified Counties, ME","23999",3947,457787,8.62,71600,55.13,3333.45,594.12,27.96,5.64,38.91,2.37,38.71,2.09
,"Anne Arundel County, MD","24003",6898,573235,12.03,110610,62.36,3297.57,599.16,30.20,5.40,38.70,2.48,38.51,2.14
,"Baltimore County, MD","24005",9844,832468,11.83,164693,59.77,3238.83,626.92,29.91,5.52,38.49,2.76,38.37,2.39
,"Carroll County, MD","24013",1570,167781,9.36,29084,53.98,3359.34,595.07,30.08,5.03,38.78,2.28,38.56,1.98
,"Cecil County, MD","24015",1145,102746,11.14,18711,61.19,3304.58,584.61,28.26,5.50,38.65,2.46,38.44,1.95
,"Charles County, MD","24017",1842,159700,11.53,31781,57.96,3194.89,665.46,29.26,5.78,38.25,3.11,38.18,2.67
,"Frederick County, MD","24021",2721,252022,10.80,48053,56.62,3316.69,596.11,30.26,5.32,38.76,2.41,38.54,2.09
,"Harford County, MD","24025",2624,252160,10.41,46315,56.66,3340.08,596.51,29.87,5.35,38.68,2.47,38.57,2.01
,"Howard County, MD","24027",3528,321113,10.99,62937,56.06,3260.52,611.05,31.67,5.19,38.63,2.52,38.45,2.26
,"Montgomery County, MD","24031",12681,1058810,11.98,206005,61.56,3278.47,577.84,31.60,5.67,38.65,2.46,38.53,2.06
,"Prince George's County, MD","24033",12393,912756,13.58,189297,65.47,3204.24,633.32,29.50,6.06,38.40,2.87,38.36,2.50
,"St. Mary's County, MD","24037",1352,112667,12.00,22291,60.65,3384.63,604.99,29.20,5.36,38.91,2.50,38.77,1.98
,"Washington County, MD","24043",1638,150578,10.88,25759,63.59,3258.96,599.29,27.85,5.82,38.64,2.66,38.45,2.14
,"Baltimore city, MD","24510",7941,611648,12.98,141009,56.32,3133.56,637.33,28.39,5.96,38.33,2.96,38.22,2.53
,"Unidentified Counties, MD","24999",5464,544493,10.04,96741,56.48,3300.44,613.05,28.37,5.62,38.76,2.60,38.51,2.22
,"Barnstable County, MA","25001",1546,213444,7.24,28338,54.56,3374.60,591.07,30.60,5.49,38.97,2.31,38.79,1.99
,"Berkshire County, MA","25003",993,126313,7.86,21202,46.84,3256.30,604.47,29.09,5.75,38.87,2.67,38.76,2.20
,"Bristol County, MA","25005",5733,561483,10.21,106881,53.64,3278.12,579.51,29.28,5.54,38.78,2.42,38.62,1.97
,"Essex County, MA","25009",8655,785205,11.02,147252,58.78,3313.77,580.86,30.28,5.59,38.88,2.45,38.71,2.08
,"Hampden County, MA","25013",4975,469818,10.59,92566,53.75,3261.14,610.10,28.47,5.76,38.79,2.56,38.57,2.24
,"Hampshire County, MA","25015",1003,161834,6.20,40644,24.68,3375.20,592.72,31.40,5.16,39.06,2.29,38.91,2.02
,"Middlesex County, MA","25017",16736,1602947,10.44,332956,50.26,3308.03,569.39,32.06,5.00,38.91,2.22,38.73,1.93
,"Norfolk County, MA","25021",7134,700322,10.19,134807,52.92,3312.70,570.43,32.28,4.74,38.83,2.20,38.70,1.91
,"Plymouth County, MA","25023",5189,515142,10.07,90289,57.47,3341.28,596.29,30.89,5.25,38.85,2.39,38.69,2.04
,"Suffolk County, MA","25025",9359,797939,11.73,212384,44.07,3264.16,582.21,30.88,5.60,38.79,2.45,38.64,2.10
,"Worcester County, MA","25027",8513,826116,10.30,158086,53.85,3309.99,587.63,29.75,5.41,38.85,2.32,38.70,2.00
,"Unidentified Counties, MA","25999",866,99256,8.72,16407,52.78,3376.21,571.23,30.53,5.58,38.98,2.32,38.98,1.99
,"Allegan County, MI","26005",1306,116447,11.22,20541,63.58,3330.01,612.21,28.10,5.39,38.75,2.47,38.53,2.18
,"Bay County, MI","26017",1009,104239,9.68,17860,56.49,3352.02,580.29,27.75,5.25,38.97,2.49,38.86,1.88
,"Berrien County, MI","26021",1737,154259,11.26,26632,65.22,3315.07,591.78,27.88,5.61,38.82,2.49,38.68,1.99
,"Calhoun County, MI","26025",1535,134128,11.44,24835,61.81,3263.08,655.07,27.18,5.47,38.72,2.97,38.50,2.58
,"Eaton County, MI","26045",1097,109027,10.06,20023,54.79,3326.96,605.29,28.40,5.19,38.72,2.32,38.56,2.19
,"Genesee County, MI","26049",4739,407385,11.63,75739,62.57,3207.11,614.54,27.26,5.59,38.42,2.83,38.23,2.25
,"Ingham County, MI","26065",3237,290186,11.15,70087,46.19,3250.18,595.00,28.67,5.68,38.66,2.45,38.57,2.19
,"Jackson County, MI","26075",1772,158640,11.17,27095,65.40,3280.10,612.49,27.23,5.36,38.66,2.73,38.46,2.22
,"Kalamazoo County, MI","26077",3033,262985,11.53,57877,52.40,3296.96,642.49,28.50,5.58,38.76,2.89,38.64,2.55
,"Kent County, MI","26081",8697,648594,13.41,134759,64.54,3305.26,591.45,28.88,5.46,38.76,2.43,38.58,2.03
,"Livingston County, MI","26093",1764,189651,9.30,32005,55.12,3367.12,577.79,30.37,4.96,38.92,2.40,38.61,2.05
,"Macomb County, MI","26099",9240,871375,10.60,162542,56.85,3230.63,619.95,29.19,5.36,38.44,2.75,38.32,2.32
,"Monroe County, MI","26115",1482,149649,9.90,26152,56.67,3322.24,569.49,28.25,5.37,38.56,2.45,38.39,2.06
,"Muskegon County, MI","26121",2125,173693,12.23,31572,67.31,3240.13,603.23,27.25,5.52,38.59,2.65,38.31,2.26
,"Oakland County, MI","26125",13235,1250836,10.58,231779,57.10,3273.54,606.63,30.49,5.25,38.57,2.71,38.50,2.22
,"Ottawa County, MI","26139",3264,286383,11.40,59530,54.83,3398.71,566.11,28.99,5.01,38.77,2.22,38.58,1.90
,"Saginaw County, MI","26145",2244,191934,11.69,35035,64.05,3233.79,615.14,27.39,5.47,38.58,2.44,38.78,2.13
,"St. Clair County, MI","26147",1462,159350,9.17,26716,54.72,3320.36,592.49,27.79,5.39,38.73,2.32,38.51,1.78
,"Washtenaw County, MI","26161",3536,367627,9.62,86338,40.96,3311.72,583.73,30.46,5.43,38.84,2.40,38.65,2.06
,"Wayne County, MI","26163",23279,1753616,13.27,345625,67.35,3175.72,629.03,27.99,5.74,38.36,2.85,38.29,2.45
,"Unidentified Counties, MI","26999",21633,2182307,9.91,361556,59.83,3345.61,600.58,27.73,5.48,38.86,2.47,38.67,2.05
,"Anoka County, MN","27003",4215,351373,12.00,65845,64.01,3365.42,588.47,30.01,5.19,38.85,2.42,38.71,1.95
,"Dakota County, MN","27037",5147,421751,12.20,80473,63.96,3356.94,589.18,30.40,5.02,38.85,2.39,38.67,2.02
,"Hennepin County, MN","27053",16322,1252024,13.04,262644,62.14,3307.12,605.07,30.71,5.33,38.80,2.59,38.69,2.19
,"Olmsted County, MN","27109",2113,154930,13.64,30481,69.32,3380.44,569.25,30.17,4.90,38.94,2.25,38.88,1.98
,"Ramsey County, MN","27123",7686,547974,14.03,116864,65.77,3292.50,607.42,29.61,5.58,38.86,2.65,38.72,2.22
,"St. Louis County, MN","27137",1989,200000,9.95,37306,53.32,3365.23,633.19,28.66,5.43,38.90,2.62,38.64,2.29
,"Scott County, MN","27139",1835,145827,12.58,28735,63.86,3380.01,583.37,30.66,4.94,38.84,2.33,38.66,2.02
,"Stearns County, MN","27145",2054,157822,13.01,32245,63.70,3369.18,577.81,29.22,5.13,38.71,2.61,38.63,2.27
,"Washington County, MN","27163",2724,256348,10.63,46823,58.18,3374.51,581.88,30.65,4.95,38.89,2.36,38.65,1.98
,"Wright County, MN","27171",1706,134286,12.70,25229,67.62,3406.21,600.09,29.89,4.96,38.69,2.46,38.57,1.94
,"Unidentified Counties, MN","27999",22804,1954271,11.67,340161,67.04,3384.76,582.46,28.63,5.22,38.78,2.38,38.64,1.99
,"DeSoto County, MS","28033",2128,178751,11.90,37488,56.76,3250.69,595.66,27.97,5.60,38.46,2.40,38.33,1.94
,"Harrison County, MS","28047",2673,205027,13.04,40916,65.33,3195.63,618.28,27.35,5.46,38.43,2.87,38.24,2.26
,"Hinds County, MS","28049",3126,239497,13.05,53088,58.88,3047.03,622.47,26.87,5.71,37.92,2.98,37.78,2.48
,"Jackson County, MS","28059",1661,142152,11.68,27384,60.66,3187.81,592.71,27.07,5.56,38.47,2.60,38.23,2.02
,"Rankin County, MS","28121",1732,152080,11.39,31261,55.40,3232.17,607.41,28.23,5.46,38.17,2.58,38.02,2.15
,"Unidentified Counties, MS","28999",26037,2066593,12.60,401607,64.83,3134.57,615.95,26.47,5.55,38.13,2.85,37.98,2.32
,"Boone County, MO","29019",2072,178271,11.62,45299,45.74,3266.63,623.28,29.09,5.40,38.41,2.47,38.48,2.27
,"Clay County, MO","29047",3040,242874,12.52,48986,62.06,3314.26,560.38,28.70,5.32,38.70,2.40,38.57,1.94
,"Franklin County, MO","29071",1256,103330,12.16,17902,70.16,3327.50,570.17,27.66,5.40,38.68,2.27,38.49,1.75
,"Greene County, MO","29077",3339,289805,11.52,61690,54.13,3317.55,583.98,27.75,5.46,38.63,2.44,38.48,2.15
,"Jackson County, MO","29095",9291,698895,13.29,141899,65.48,3244.77,618.80,28.01,5.69,38.51,2.59,38.47,2.23
,"Jasper County, MO","29097",1596,120217,13.28,24021,66.44,3316.88,587.19,26.28,5.46,38.66,2.49,38.42,2.09
,"Jefferson County, MO","29099",2516,223810,11.24,41411,60.76,3313.49,596.02,28.53,5.30,38.43,2.39,38.35,2.05
,"St. Charles County, MO","29183",4459,395504,11.27,76285,58.45,3323.62,594.41,30.15,4.92,38.52,2.28,38.36,2.01
,"St. Louis County, MO","29189",11374,996726,11.41,189509,60.02,3227.07,614.16,29.56,5.55,38.39,2.46,38.32,2.18
,"St. Louis city, MO","29510",4138,308626,13.41,71334,58.01,3127.38,643.07,28.43,5.66,38.22,2.87,38.14,2.65
,"Unidentified Counties, MO","29999",29953,2555474,11.72,453439,66.06,3287.27,596.45,27.03,5.49,38.59,2.47,38.42,2.07
,"Missoula County, MT","30063",1138,117441,9.69,25940,43.87,3306.59,552.42,29.40,5.52,38.92,2.34,38.74,1.83
,"Yellowstone County, MT","30111",1898,158980,11.94,30163,62.92,3283.32,565.54,28.06,5.36,38.70,2.22,38.61,1.89
,"Unidentified Counties, MT","30999",8763,774072,11.32,133986,65.40,3271.33,578.65,28.29,5.74,38.65,2.45,38.58,2.03
,"Douglas County, NE","31055",8305,561620,14.79,117132,70.90,3274.23,595.90,29.04,5.52,38.51,2.52,38.34,2.12
,"Lancaster County, NE","31109",3925,314358,12.49,68200,57.55,3317.99,587.97,29.05,5.44,38.53,2.31,38.38,1.97
,"Sarpy County, NE","31153",2589,181439,14.27,36894,70.17,3346.80,568.35,29.33,5.15,38.68,2.21,38.43,1.80
,"Unidentified Counties, NE","31999",11002,862659,12.75,147946,74.36,3331.32,568.44,27.98,5.33,38.73,2.32,38.61,1.94
,"Clark County, NV","32003",26949,2204079,12.23,447288,60.25,3204.36,584.58,28.62,5.94,38.53,2.62,38.35,2.14
,"Washoe County, NV","32031",5210,460587,11.31,89403,58.28,3231.25,571.90,28.72,5.76,38.72,2.55,38.47,2.13
,"Unidentified Counties, NV","32999",3597,333373,10.79,52458,68.57,3224.20,552.78,27.44,5.67,38.70,2.36,38.46,1.95
,"Hillsborough County, NH","33011",4178,409697,10.20,76259,54.79,3330.33,592.71,29.53,5.39,38.97,2.34,38.79,2.10
,"Merrimack County, NH","33013",1305,149216,8.75,26592,49.07,3376.73,556.54,29.62,5.27,39.05,2.27,38.85,1.99
,"Rockingham County, NH","33015",2669,306363,8.71,52047,51.28,3367.33,566.76,30.80,4.97,38.95,2.10,38.80,1.90
,"Strafford County, NH","33017",1180,128613,9.17,28114,41.97,3303.99,612.74,29.31,5.22,38.86,2.55,38.68,2.14
,"Unidentified Counties, NH","33999",2784,348906,7.98,58334,47.73,3334.77,589.84,28.76,5.38,39.03,2.22,38.84,2.01
,"Atlantic County, NJ","34001",2804,269918,10.39,49266,56.92,3263.10,618.86,29.26,5.74,38.65,2.76,38.52,2.36
,"Bergen County, NJ","34003",9339,948406,9.85,175698,53.15,3255.99,550.67,32.10,5.06,38.63,2.27,38.48,1.89
,"Burlington County, NJ","34005",4424,448596,9.86,80436,55.00,3289.23,616.56,30.39,5.42,38.78,2.57,38.55,2.24
,"Camden County, NJ","34007",6022,510719,11.79,99828,60.32,3239.79,616.48,29.48,5.76,38.64,2.71,38.47,2.34
,"Cumberland County, NJ","34011",1839,152538,12.06,27394,67.13,3202.70,617.71,27.32,5.76,38.50,2.83,38.34,2.43
,"Essex County, NJ","34013",10298,808285,12.74,167183,61.60,3212.34,605.85,30.19,6.02,38.43,2.73,38.41,2.30
,"Gloucester County, NJ","34015",2891,292206,9.89,55224,52.35,3280.92,614.29,30.25,5.26,38.67,2.70,38.50,2.35
,"Hudson County, NJ","34017",10165,691643,14.70,161077,63.11,3210.95,563.41,30.86,5.53,38.55,2.42,38.48,2.05
,"Hunterdon County, NJ","34019",952,125059,7.61,19842,47.98,3346.89,574.44,32.20,5.09,38.73,2.34,38.62,2.07
,"Mercer County, NJ","34021",4081,374733,10.89,75619,53.97,3232.46,597.50,30.00,5.80,38.64,2.67,38.50,2.26
,"Middlesex County, NJ","34023",9123,842798,10.82,169705,53.76,3230.81,564.38,30.53,5.33,38.66,2.29,38.53,1.94
,"Monmouth County, NJ","34025",5737,626351,9.16,108883,52.69,3286.16,593.69,31.36,5.35,38.70,2.50,38.50,2.12
,"Morris County, NJ","34027",4636,499693,9.28,89187,51.98,3304.49,545.17,32.19,4.94,38.82,2.23,38.64,1.88
,"Ocean County, NJ","34029",8597,597943,14.38,95008,90.49,3340.01,544.27,29.37,5.62,39.09,2.35,38.84,1.91
,"Passaic County, NJ","34031",6790,512607,13.25,102617,66.17,3233.51,559.44,29.37,5.99,38.45,2.46,38.38,1.95
,"Somerset County, NJ","34035",3068,335432,9.15,61387,49.98,3267.12,580.98,31.88,5.40,38.64,2.52,38.54,2.15
,"Sussex County, NJ","34037",1213,141682,8.56,23655,51.28,3350.11,548.93,30.61,5.03,38.88,2.20,38.65,1.96
,"Union County, NJ","34039",6859,563892,12.16,110165,62.26,3281.05,563.83,30.77,5.76,38.69,2.42,38.59,1.99
,"Warren County, NJ","34041",935,106798,8.75,18331,51.01,3301.33,569.95,30.30,5.43,38.72,2.45,38.63,2.01
,"Unidentified Counties, NJ","34999",1477,156345,9.45,24618,60.00,3321.25,585.89,28.55,5.46,38.83,2.56,38.74,1.96
,"Bernalillo County, NM","35001",7436,676773,10.99,135331,54.95,3189.46,553.80,28.41,5.85,38.59,2.31,38.43,2.06
,"Dona Ana County, NM","35013",2674,215579,12.40,45553,58.70,3208.36,576.58,26.69,5.72,38.56,2.43,38.38,2.15
,"Sandoval County, NM","35043",1412,142507,9.91,26410,53.46,3172.08,568.28,28.69,5.63,38.52,2.36,38.34,2.04
,"San Juan County, NM","35045",1472,126926,11.60,24678,59.65,3212.71,549.99,27.33,6.05,38.54,2.34,38.52,2.07
,"Santa Fe County, NM","35049",1222,148750,8.22,24269,50.35,3096.41,549.53,28.56,5.99,38.76,2.22,38.45,1.91
,"Unidentified Counties, NM","35999",9551,777535,12.28,139045,68.69,3173.14,576.28,26.78,5.78,38.52,2.50,38.41,2.12
,"Albany County, NY","36001",3083,309612,9.96,66836,46.13,3286.16,615.47,30.01,5.59,38.66,2.54,38.61,2.32
,"Bronx County, NY","36005",20588,1471160,13.99,327519,62.86,3190.48,599.41,29.10,6.08,38.59,2.46,38.52,2.24
,"Broome County, NY","36007",1979,193639,10.22,37325,53.02,3285.65,619.67,28.59,5.62,38.63,2.48,38.46,2.19
,"Chautauqua County, NY","36013",1344,129046,10.41,22680,59.26,3315.63,579.84,27.36,5.59,38.84,2.51,38.62,1.98
,"Dutchess County, NY","36027",2604,295568,8.81,54603,47.69,3300.70,597.64,30.43,5.56,38.76,2.41,38.61,2.16
,"Erie County, NY","36029",9870,925528,10.66,176756,55.84,3268.14,611.91,29.30,5.58,38.66,2.51,38.53,2.19
,"Jefferson County, NY","36045",2009,114187,17.59,21714,92.52,3341.20,610.36,26.88,5.29,38.92,2.62,38.65,2.29
,"Kings County, NY","36047",39192,2648771,14.80,602090,65.09,3237.73,560.15,30.19,6.01,38.76,2.24,38.70,2.04
,"Monroe County, NY","36055",7893,747642,10.56,148296,53.22,3269.07,622.11,29.36,5.61,38.81,2.62,38.61,2.31
,"Nassau County, NY","36059",14178,1369514,10.35,248835,56.98,3260.07,574.11,31.64,5.35,38.67,2.37,38.57,2.04
,"New York County, NY","36061",17504,1664727,10.51,414770,42.20,3226.79,558.86,32.38,5.62,38.71,2.20,38.66,2.01
,"Niagara County, NY","36063",2114,211328,10.00,37468,56.42,3288.72,596.58,28.50,5.56,38.73,2.29,38.57,1.95
,"Oneida County, NY","36065",2555,231332,11.04,40667,62.83,3301.61,612.92,28.24,5.67,38.80,2.67,38.62,2.21
,"Onondaga County, NY","36067",5052,465398,10.86,91626,55.14,3314.24,619.63,29.12,5.59,38.92,2.53,38.71,2.20
,"Ontario County, NY","36069",984,109899,8.95,18888,52.10,3357.91,594.90,29.51,5.38,39.01,2.56,38.75,2.15
,"Orange County, NY","36071",5092,382226,13.32,70529,72.20,3320.17,568.19,29.52,6.04,38.95,2.40,38.78,2.03
,"Oswego County, NY","36075",1248,118478,10.53,22066,56.56,3310.42,623.28,27.46,5.55,38.92,2.73,38.68,2.33
,"Queens County, NY","36081",29008,2358582,12.30,490390,59.15,3214.70,574.95,30.50,5.68,38.69,2.36,38.58,2.09
,"Rensselaer County, NY","36083",1589,159722,9.95,30684,51.79,3313.27,644.64,29.30,5.54,38.71,2.64,38.57,2.36
,"Richmond County, NY","36085",5444,479458,11.35,92367,58.94,3238.86,587.56,30.65,5.48,38.70,2.45,38.59,2.15
,"Rockland County, NY","36087",5481,328868,16.67,59241,92.52,3319.73,548.15,29.79,6.10,39.11,2.27,38.98,1.90
,"St. Lawrence County, NY","36089",1038,109623,9.47,20394,50.90,3301.27,617.42,27.80,5.53,38.77,2.76,38.52,2.40
,"Saratoga County, NY","36091",2135,229869,9.29,41089,51.96,3361.95,589.99,30.50,5.20,38.95,2.18,38.75,1.98
,"Schenectady County, NY","36093",1814,155565,11.66,29564,61.36,3285.32,618.42,29.33,5.69,38.79,2.51,38.66,2.20
,"Suffolk County, NY","36103",15359,1492953,10.29,269644,56.96,3273.86,581.97,30.75,5.67,38.61,2.42,38.48,2.07
,"Tompkins County, NY","36109",767,104802,7.32,27548,27.84,3357.22,566.27,30.27,5.57,39.07,2.14,38.89,1.88
,"Ulster County, NY","36111",1453,179417,8.10,31797,45.70,3339.84,582.36,29.69,5.76,39.03,2.25,38.79,1.91
,"Westchester County, NY","36119",10400,980244,10.61,182803,56.89,3268.27,572.25,31.82,5.68,38.61,2.33,38.60,2.01
,"Unidentified Counties, NY","36999",17960,1882241,9.54,322864,55.63,3354.60,599.57,28.30,5.61,38.97,2.50,38.75,2.08
,"Alamance County, NC","37001",1940,162391,11.95,31768,61.07,3254.35,612.00,28.00,5.77,38.75,2.79,38.47,2.25
,"Brunswick County, NC","37019",1008,130897,7.70,17804,56.62,3285.46,601.54,28.14,5.86,38.77,2.73,38.56,2.15
,"Buncombe County, NC","37021",2393,257607,9.29,49865,47.99,3257.96,583.56,29.41,6.00,38.63,2.32,38.53,2.08
,"Cabarrus County, NC","37025",2593,206872,12.53,41367,62.68,3264.88,600.44,28.97,5.56,38.66,2.65,38.43,2.13
,"Catawba County, NC","37035",1652,157974,10.46,28544,57.88,3275.22,621.45,27.63,5.69,38.67,2.82,38.53,2.28
,"Craven County, NC","37049",1386,102578,13.51,18250,75.95,3259.14,632.47,27.20,5.73,38.57,2.79,38.46,2.33
,"Cumberland County, NC","37051",5506,332546,16.56,71535,76.97,3229.00,633.18,26.98,5.40,38.82,3.02,38.35,2.44
,"Davidson County, NC","37057",1761,165466,10.64,29061,60.60,3217.88,609.05,27.14,5.58,38.58,2.65,38.21,2.10
,"Durham County, NC","37063",4181,311640,13.42,72556,57.62,3249.09,609.86,29.83,5.71,38.68,2.76,38.55,2.29
,"Forsyth County, NC","37067",4368,376320,11.61,75870,57.57,3190.75,636.67,28.53,5.82,38.69,3.00,38.30,2.46
,"Gaston County, NC","37071",2588,220182,11.75,42129,61.43,3222.50,617.48,27.64,5.70,38.76,2.88,38.67,2.32
,"Guilford County, NC","37081",6218,526953,11.80,112377,55.33,3205.93,631.88,28.61,5.79,38.52,2.84,38.37,2.44
,"Harnett County, NC","37085",1886,132754,14.21,27782,67.89,3289.88,590.02,28.13,5.29,38.87,2.80,38.41,2.16
,"Henderson County, NC","37089",1040,115708,8.99,18239,57.02,3271.45,577.80,28.36,5.83,38.74,2.56,38.52,1.99
,"Iredell County, NC","37097",1858,175711,10.57,32230,57.65,3269.22,619.08,28.55,5.69,38.74,2.63,38.42,2.13
,"Johnston County, NC","37101",2318,196708,11.78,37915,61.14,3284.67,605.21,28.53,5.71,38.77,2.66,38.42,2.20
,"Mecklenburg County, NC","37119",14753,1076837,13.70,245787,60.02,3228.30,607.45,29.67,5.79,38.65,2.70,38.53,2.21
,"New Hanover County, NC","37129",2267,227198,9.98,48176,47.06,3273.17,630.13,29.59,5.79,38.60,2.84,38.38,2.45
,"Onslow County, NC","37133",4061,193893,20.94,40096,101.28,3323.53,587.93,26.19,5.19,39.27,2.78,38.57,2.08
,"Orange County, NC","37135",1179,144946,8.13,34809,33.87,3318.02,579.40,30.95,5.61,38.83,2.48,38.67,2.06
,"Pitt County, NC","37147",2051,179042,11.46,44414,46.18,3197.84,635.65,28.23,5.69,38.61,3.00,38.34,2.43
,"Randolph County, NC","37151",1576,143282,11.00,25363,62.14,3284.24,635.05,27.54,5.78,38.68,2.55,38.35,2.23
,"Robeson County, NC","37155",1782,132606,13.44,26407,67.48,3128.56,660.07,26.14,5.78,38.39,3.41,38.26,2.82
,"Rowan County, NC","37159",1587,140644,11.28,25535,62.15,3236.94,590.72,27.20,5.74,38.73,2.79,38.38,2.13
,"Union County, NC","37179",2382,231366,10.30,44277,53.80,3307.00,586.46,29.43,5.93,38.79,2.52,38.59,2.09
,"Wake County, NC","37183",12682,1072203,11.83,233768,54.25,3291.56,601.84,30.46,5.52,38.76,2.59,38.58,2.23
,"Wayne County, NC","37191",1611,124172,12.97,23216,69.39,3240.21,641.90,27.10,5.76,38.80,2.96,38.48,2.39
,"Unidentified Counties, NC","37999",31498,3034923,10.38,517517,60.86,3227.37,626.58,27.30,5.73,38.56,2.90,38.35,2.31
,"Cass County, ND","38017",2534,177787,14.25,40674,62.30,3331.85,612.01,29.39,5.04,38.92,2.51,38.64,2.15
,"Unidentified Counties, ND","38999",8203,577606,14.20,105608,77.67,3353.33,577.96,28.22,5.15,38.70,2.37,38.52,1.96
,"Allen County, OH","39003",1244,103198,12.05,18286,68.03,3205.93,615.51,26.74,5.36,38.14,3.15,38.07,2.37
,"Ashtabula County, OH","39007",1149,97807,11.75,16057,71.56,3252.58,601.47,26.89,5.59,38.60,2.61,38.32,2.13
,"Butler County, OH","39017",4466,380604,11.73,76992,58.01,3290.61,578.02,28.22,5.50,38.65,2.49,38.47,1.96
,"Clark County, OH","39023",1614,134557,11.99,24391,66.17,3251.49,580.91,26.33,5.57,38.62,2.45,38.34,1.90
,"Clermont County, OH","39025",2311,204214,11.32,37130,62.24,3316.70,592.90,28.43,5.56,38.76,2.43,38.50,2.00
,"Columbiana County, OH","39029",1025,103077,9.94,16484,62.18,3315.36,573.31,27.30,5.47,38.70,2.26,38.42,1.95
,"Cuyahoga County, OH","39035",14550,1248514,11.65,240142,60.59,3169.19,636.08,28.58,5.78,38.41,2.86,38.28,2.57
,"Delaware County, OH","39041",2074,200464,10.35,37670,55.06,3328.48,587.61,31.01,4.74,38.63,2.44,38.49,2.09
,"Fairfield County, OH","39045",1755,154733,11.34,28304,62.01,3302.99,591.97,28.30,5.43,38.61,2.52,38.40,2.22
