
<html>
 <head>
  <title>California Weather Data: Comma-delimited data file--UC IPM</title>
 </head>
 <body>
 <pre>
"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve <a href=#COLHDR>data in comma delimited data file format</a>"
" "
"Weather database request:  "
" "
"Time Period: March 1, 1998 to August 16, 2020, retrieved on August 17, 2020"
" (8205 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 96% of requested data were available from station SJ_VALLEY.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation         7504          610            5           86            0        "
"                     SJ_VALLEY.A  HOLLISTR.A   HOLLISTR.C   HOLLISTR.C   "
"Air Temps, max/min    7890          216           23           76            0        "
"                     SJ_VALLEY.A  HOLLISTR.A   HOLLISTR.C   HOLLISTR.C   "
"Soil Temps, max/min   7897            0            0            0          308        "
"                     SJ_VALLEY.A  none         none         none         "
"Rel. Humidity         7841            0            0            0          364        "
"                     SJ_VALLEY.A  none         none         none         "
"ETo                   7969            0            0            0          236        "
"                     SJ_VALLEY.A  none         none         none         "
"Solar Radiation       7888          218            0           99            0        "
"                     SJ_VALLEY.A  HOLLISTR.A   none         SANJOSE.A    "
"Wind Speed & Dir      7943            0            0            0          262        "
"                     SJ_VALLEY.A  none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Inches"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Fahrenheit"
"   7       Air temperature, minimum      Fahrenheit"
"   8       Air temperature, observed     Fahrenheit"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Miles per hour"
"  12       Bulb temperature, wet         Fahrenheit"
"  13       Bulb temperature, dry         Fahrenheit"
"  14       Soil temperature, maximum     Fahrenheit"
"  15       Soil temperature, minimum     Fahrenheit"
"  16       Pan evaporation               Inches"
"  17       Solar radiation               Langleys"
"  18       Reference evapotranspiration  Inches"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
<a name=COLHDR>" "</a>
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
SJ_VALLEY.A,20041113,2359,0.00,,63,44,,,SE,3,,,59,56,,164,0.04,99.0,67.5,
SJ_VALLEY.A,20041114,2359,0.01,,69,42,,,SE,2,,,60,54,,263,0.06,99.8,59.9,
SJ_VALLEY.A,20041115,2359,0.00,,67,45,,,SE,2,,,59,54,,207,0.05,98.8,64.3,
SJ_VALLEY.A,20041116,2359,0.00,,69,41,,,NW,3,,,59,53,,286,0.07,99.1,57.3,
SJ_VALLEY.A,20041117,2359,0.01,,71,40,,,SE,3,,,59,53,,273,0.07,99.6,52.9,
SJ_VALLEY.A,20041118,2359,0.00,,69,41,,,SE,3,,,59,53,,276,0.07,99.0,54.2,
SJ_VALLEY.A,20041119,2359,0.00,,62,39,,,E,3,,,58,54,,214,0.05,98.8,60.1,
SJ_VALLEY.A,20041120,2359,0.00,,65,34,,,E,4,,,57,51,,284,0.08,100.0,27.6,
SJ_VALLEY.A,20041121,2359,0.00,,64,36,,,SE,5,,,54,50,,288,0.10,63.6,15.9,
SJ_VALLEY.A,20041122,2359,0.00,,63,28,,,SE,3,,,53,47,,268,0.07,89.4,26.9,
SJ_VALLEY.A,20041123,2359,0.00,,64,32,,,SE,3,,,53,47,,271,0.05,,,
SJ_VALLEY.A,20041124,2359,0.00,,67,32,,,SE,3,,,54,47,,270,0.06,98.8,30.7,
SJ_VALLEY.A,20041125,2359,0.00,,61,34,,,SE,3,,,54,48,,239,0.05,98.3,65.5,
SJ_VALLEY.A,20041126,2359,0.00,,65,45,,,E,3,,,57,53,,223,0.06,96.6,57.6,
SJ_VALLEY.A,20041127,2359,0.11,,59,43,,,W,7,,,54,51,,146,0.04,96.1,52.7,
SJ_VALLEY.A,20041128,2359,0.00,,57,34,,,NW,5,,,51,47,,278,0.08,81.4,28.8,
SJ_VALLEY.A,20041129,2359,0.00,,56,25,,,SE,3,,,50,44,,275,0.06,90.8,30.8,
SJ_VALLEY.A,20041130,2359,0.00,,58,27,,,SE,3,,,50,44,,258,0.05,95.7,32.6,
SJ_VALLEY.A,20041201,2359,0.00,,57,26,,,SE,3,,,49,43,,258,0.06,96.9,40.1,
SJ_VALLEY.A,20041202,2359,0.00,,57,25,,,E,3,,,49,43,,254,0.06,98.6,36.9,
SJ_VALLEY.A,20041203,2359,0.00,,61,27,,,SE,3,,,49,42,,265,0.06,92.5,30.1,
SJ_VALLEY.A,20041204,2359,0.00,,60,23,,,W,3,,,47,41,,232,0.06,93.9,35.6,
SJ_VALLEY.A,20041205,2359,0.00,,59,36,,,SE,4,,,,,,218,0.06,91.4,42.4,
SJ_VALLEY.A,20041206,2359,0.00,,59,33,,,SE,3,,,50,45,,194,0.05,98.5,49.8,
SJ_VALLEY.A,20041207,2359,0.63,,60,49,,,SE,4,,,53,49,,175,0.04,98.6,67.4,
SJ_VALLEY.A,20041208,2359,0.34,,57,50,,,W,3,,,53,51,,61,0.01,99.8,93.3,
SJ_VALLEY.A,20041209,2359,0.00,,67,48,,,SE,3,,,57,52,,230,0.06,99.8,66.8,
SJ_VALLEY.A,20041210,2359,0.01,,68,44,,,SE,3,,,56,51,,245,0.06,99.7,66.0,
SJ_VALLEY.A,20041211,2359,0.00,,66,44,,,SE,3,,,56,51,,231,0.05,99.8,72.2,
SJ_VALLEY.A,20041212,2359,0.01,,57,38,,,SE,3,,,53,50,,65,0.01,100.0,89.0,
SJ_VALLEY.A,20041213,2359,0.00,,66,46,,,SE,3,,,57,52,,235,0.06,97.4,65.4,
SJ_VALLEY.A,20041214,2359,0.00,,61,42,,,E,4,,,56,52,,212,0.06,98.0,71.0,
SJ_VALLEY.A,20041215,2359,0.00,,66,39,,,SE,4,,,55,50,,241,0.06,98.5,55.2,
SJ_VALLEY.A,20041216,2359,0.00,,65,38,,,SE,3,,,54,48,,226,0.05,97.8,51.0,
SJ_VALLEY.A,20041217,2359,0.00,,68,33,,,SE,3,,,53,47,,248,0.06,98.7,48.9,
SJ_VALLEY.A,20041218,2359,0.00,,67,32,,,SE,3,,,52,46,,243,0.06,97.2,36.9,
SJ_VALLEY.A,20041219,2359,0.00,,68,33,,,SE,3,,,52,46,,240,0.06,94.8,38.5,
SJ_VALLEY.A,20041220,2359,0.00,,62,33,,,SE,3,,,51,46,,225,0.05,96.8,53.7,
SJ_VALLEY.A,20041221,2359,0.00,,63,36,,,SE,4,,,52,47,,245,0.06,92.5,33.4,
SJ_VALLEY.A,20041222,2359,0.00,,62,36,,,SE,3,,,52,47,,230,0.06,83.2,34.6,
SJ_VALLEY.A,20041223,2359,0.00,,63,30,,,SE,3,,,50,44,,247,0.06,93.2,39.8,
SJ_VALLEY.A,20041224,2359,0.00,,62,29,,,SE,3,,,49,44,,246,0.06,94.4,37.4,
SJ_VALLEY.A,20041225,2359,0.00,,62,28,,,SE,3,,,49,43,,234,0.05,95.9,49.8,
SJ_VALLEY.A,20041226,2359,0.00,,57,39,,,SE,5,,,49,46,,81,0.03,97.9,67.2,
SJ_VALLEY.A,20041227,2359,0.74,,61,45,,,SE,9,,,51,49,,131,0.06,98.3,63.7,
SJ_VALLEY.A,20041228,2359,0.13,,52,44,,,SE,3,,,50,49,,47,0.00,99.4,82.9,
SJ_VALLEY.A,20041229,2359,0.15,,56,42,,,SE,4,,,51,48,,172,0.05,99.4,69.2,
SJ_VALLEY.A,20041230,2359,1.12,,57,49,,,S,5,,,51,49,,68,0.02,95.7,64.7,
SJ_VALLEY.A,20041231,2359,1.02,,55,44,,,W,5,,,53,50,,187,0.04,98.2,67.2,
SJ_VALLEY.A,20050101,2359,0.20,,56,39,,,SE,3,,,52,49,,196,0.04,96.6,63.0,
SJ_VALLEY.A,20050102,2359,0.14,,48,37,,,SE,2,,,50,48,,71,0.01,99.0,90.2,
SJ_VALLEY.A,20050103,2359,0.10,,53,37,,,SE,3,,,51,48,,116,0.02,99.2,80.2,
SJ_VALLEY.A,20050104,2359,0.00,,51,36,,,SE,3,,,49,47,,111,0.02,99.4,79.4,
SJ_VALLEY.A,20050105,2359,0.01,,51,39,,,SE,2,,,49,47,,93,0.01,99.6,83.5,
SJ_VALLEY.A,20050106,2359,0.01,,56,36,,,SE,3,,,50,47,,187,0.04,99.6,75.4,
SJ_VALLEY.A,20050107,2359,0.32,,62,46,,,SE,10,,,51,49,,122,0.05,93.8,66.6,
SJ_VALLEY.A,20050108,2359,0.56,,55,43,,,SW,5,,,51,49,,93,0.02,96.9,79.5,
SJ_VALLEY.A,20050109,2359,0.19,,53,44,,,SE,3,,,51,49,,71,0.01,98.6,95.3,
SJ_VALLEY.A,20050110,2359,0.53,,56,48,,,W,4,,,53,50,,102,0.02,99.0,83.1,
SJ_VALLEY.A,20050111,2359,1.02,,53,38,,,W,7,,,51,47,,91,0.03,93.6,73.2,
SJ_VALLEY.A,20050112,2359,0.00,,56,31,,,SE,3,,,50,44,,269,0.05,99.3,62.1,
SJ_VALLEY.A,20050113,2359,0.00,,51,31,,,SE,3,,,47,44,,123,0.02,97.9,75.7,
SJ_VALLEY.A,20050114,2359,0.00,,56,31,,,SE,3,,,48,43,,268,0.06,98.5,63.0,
SJ_VALLEY.A,20050115,2359,0.01,,58,31,,,SE,3,,,48,43,,242,0.05,98.4,56.9,
SJ_VALLEY.A,20050116,2359,0.00,,62,35,,,SE,3,,,50,44,,262,0.06,98.0,52.6,
SJ_VALLEY.A,20050117,2359,0.00,,63,36,,,SE,3,,,50,45,,229,0.06,97.3,55.4,
SJ_VALLEY.A,20050118,2359,0.00,,62,37,,,SE,3,,,51,46,,248,0.06,98.5,57.9,
SJ_VALLEY.A,20050119,2359,0.00,,64,36,,,SE,3,,,51,45,,281,0.06,99.4,62.7,
SJ_VALLEY.A,20050120,2359,0.00,,70,37,,,SE,3,,,52,46,,278,0.07,98.8,56.0,
SJ_VALLEY.A,20050121,2359,0.00,,67,36,,,SE,3,,,52,46,,285,0.07,99.6,56.5,
SJ_VALLEY.A,20050122,2359,0.01,,63,36,,,SE,3,,,52,47,,283,0.06,100.0,62.4,
SJ_VALLEY.A,20050123,2359,0.00,,66,43,,,E,3,,,54,49,,255,0.06,99.8,67.2,
SJ_VALLEY.A,20050124,2359,0.01,,67,39,,,SE,3,,,54,50,,214,0.05,100.0,71.2,
SJ_VALLEY.A,20050125,2359,0.00,,68,46,,,SE,4,,,54,50,,179,0.05,95.7,61.8,
SJ_VALLEY.A,20050126,2359,0.14,,60,44,,,SE,4,,,54,52,,110,0.02,98.2,79.7,
SJ_VALLEY.A,20050127,2359,0.01,,58,39,,,SE,3,,,53,50,,167,0.04,99.5,72.9,
SJ_VALLEY.A,20050128,2359,0.50,,56,40,,,W,6,,,53,50,,136,0.03,97.4,66.3,
SJ_VALLEY.A,20050129,2359,0.00,,57,39,,,SE,4,,,53,49,,307,0.08,98.4,54.1,
SJ_VALLEY.A,20050130,2359,0.00,,60,31,,,SE,3,,,52,47,,311,0.07,99.5,50.9,
SJ_VALLEY.A,20050131,2359,0.00,,63,32,,,SE,3,,,52,46,,309,0.07,98.8,56.4,
SJ_VALLEY.A,20050201,2359,0.00,,69,37,,,SE,3,,,53,47,,327,0.09,96.8,42.4,
SJ_VALLEY.A,20050202,2359,0.00,,69,34,,,SE,3,,,53,46,,331,0.08,94.8,33.7,
SJ_VALLEY.A,20050203,2359,0.00,,69,34,,,SE,3,,,53,46,,326,0.08,94.9,30.6,
SJ_VALLEY.A,20050204,2359,0.00,,69,33,,,SE,3,,,53,47,,323,0.08,97.9,36.1,
SJ_VALLEY.A,20050205,2359,0.00,,62,39,,,SE,3,,,53,49,,211,0.05,99.2,67.6,
SJ_VALLEY.A,20050206,2359,0.00,,57,43,,,SW,5,,,53,50,,237,0.06,97.7,66.7,
SJ_VALLEY.A,20050207,2359,0.08,,58,47,,,W,4,,,53,51,,170,0.04,95.5,71.6,
SJ_VALLEY.A,20050208,2359,0.00,,56,42,,,SE,3,,,53,51,,167,0.04,92.6,68.5,
SJ_VALLEY.A,20050209,2359,0.00,,64,35,,,SE,3,,,53,48,,277,0.07,99.4,63.7,
SJ_VALLEY.A,20050210,2359,0.00,,69,36,,,SE,3,,,54,48,,333,0.09,99.3,43.0,
SJ_VALLEY.A,20050211,2359,0.09,,59,48,,,SE,3,,,53,51,,103,0.02,97.6,71.1,
SJ_VALLEY.A,20050212,2359,0.12,,65,45,,,W,4,,,57,52,,315,0.08,99.2,67.6,
SJ_VALLEY.A,20050213,2359,0.00,,54,44,,,SE,2,,,54,52,,47,0.00,99.6,94.1,
SJ_VALLEY.A,20050214,2359,0.05,,61,49,,,SE,3,,,54,52,,127,0.03,98.4,63.0,
SJ_VALLEY.A,20050215,2359,0.42,,57,51,,,E,4,,,54,53,,50,0.01,99.2,85.3,
SJ_VALLEY.A,20050216,2359,0.56,,65,49,,,W,3,,,57,53,,242,0.06,99.5,67.9,
SJ_VALLEY.A,20050217,2359,0.19,,59,48,,,SE,3,,,56,54,,85,0.01,98.9,88.0,
SJ_VALLEY.A,20050218,2359,0.03,,64,50,,,SE,4,,,57,53,,261,0.07,98.7,71.1,
SJ_VALLEY.A,20050219,2359,0.01,,62,48,,,SE,6,,,56,54,,142,0.04,97.4,69.5,
SJ_VALLEY.A,20050220,2359,0.01,,60,47,,,E,5,,,54,53,,98,0.03,97.9,64.6,
SJ_VALLEY.A,20050221,2359,0.01,,63,48,,,SE,7,,,55,53,,247,0.08,94.7,60.3,
SJ_VALLEY.A,20050222,2359,0.01,,66,43,,,SE,4,,,56,52,,375,0.11,96.4,52.8,
SJ_VALLEY.A,20050223,2359,0.00,,62,41,,,W,5,,,56,52,,388,0.10,99.2,74.2,
SJ_VALLEY.A,20050224,2359,0.00,,60,48,,,E,3,,,56,54,,200,0.05,94.0,71.3,
SJ_VALLEY.A,20050225,2359,0.24,,63,43,,,NW,3,,,57,54,,270,0.07,97.4,65.9,
SJ_VALLEY.A,20050226,2359,0.00,,64,47,,,W,4,,,57,54,,345,0.10,96.0,67.1,
SJ_VALLEY.A,20050227,2359,0.53,,63,46,,,W,4,,,57,54,,200,0.05,98.1,57.2,
SJ_VALLEY.A,20050228,2359,0.00,,65,45,,,SE,3,,,58,54,,415,0.11,98.9,47.7,
SJ_VALLEY.A,20050301,2359,0.02,,62,41,,,SE,4,,,56,53,,255,0.06,99.2,73.6,
SJ_VALLEY.A,20050302,2359,0.19,,65,46,,,NW,3,,,58,55,,398,0.11,99.3,57.1,
SJ_VALLEY.A,20050303,2359,0.19,,65,39,,,SE,3,,,57,53,,318,0.08,99.7,68.4,
SJ_VALLEY.A,20050304,2359,0.63,,55,50,,,W,3,,,56,55,,83,0.01,98.7,90.0,
SJ_VALLEY.A,20050305,2359,0.00,,65,42,,,SE,3,,,57,54,,335,0.09,100.0,75.1,
SJ_VALLEY.A,20050306,2359,0.01,,72,44,,,SE,3,,,59,54,,414,0.11,100.0,52.1,
SJ_VALLEY.A,20050307,2359,0.01,,71,46,,,SE,3,,,59,56,,344,0.09,100.0,63.3,
SJ_VALLEY.A,20050308,2359,0.01,,77,44,,,SE,3,,,60,56,,394,0.11,100.0,46.6,
SJ_VALLEY.A,20050309,2359,0.00,,79,44,,,SE,3,,,61,56,,455,0.14,100.0,51.4,
SJ_VALLEY.A,20050310,2359,0.00,,79,48,,,SE,3,,,62,57,,460,0.14,99.3,44.3,
SJ_VALLEY.A,20050311,2359,0.00,,86,48,,,SE,3,,,63,57,,462,0.15,100.0,47.0,
SJ_VALLEY.A,20050312,2359,0.00,,59,54,,,W,5,,,61,59,,142,0.03,100.0,88.6,
SJ_VALLEY.A,20050313,2359,0.00,,58,53,,,W,5,,,59,58,,135,0.03,96.9,86.6,
SJ_VALLEY.A,20050314,2359,0.00,,71,42,,,SE,3,,,60,57,,482,0.14,97.6,30.2,
SJ_VALLEY.A,20050315,2359,0.00,,72,35,,,SE,4,,,59,53,,492,0.15,95.1,28.9,
SJ_VALLEY.A,20050316,2359,0.00,,71,33,,,SE,4,,,58,53,,445,0.15,98.5,29.5,
SJ_VALLEY.A,20050317,2359,0.00,,64,40,,,W,3,,,56,53,,216,0.06,93.3,40.0,
SJ_VALLEY.A,20050318,2359,0.06,,60,49,,,W,2,,,57,55,,169,0.04,97.1,70.7,
SJ_VALLEY.A,20050319,2359,0.17,,62,51,,,W,7,,,58,56,,262,0.08,98.1,67.8,
SJ_VALLEY.A,20050320,2359,0.22,,64,47,,,SW,8,,,58,55,,309,0.10,96.5,67.4,
SJ_VALLEY.A,20050321,2359,0.19,,62,43,,,W,3,,,57,54,,251,0.06,99.1,65.5,
SJ_VALLEY.A,20050322,2359,1.29,,60,49,,,W,8,,,58,54,,174,0.04,97.7,83.6,
SJ_VALLEY.A,20050323,2359,0.12,,57,48,,,W,8,,,58,53,,342,0.10,91.8,67.3,
SJ_VALLEY.A,20050324,2359,0.00,,62,42,,,W,4,,,61,53,,512,0.14,96.1,51.4,
SJ_VALLEY.A,20050325,2359,0.00,,61,41,,,SE,4,,,61,53,,509,0.14,93.2,51.5,
SJ_VALLEY.A,20050326,2359,0.00,,69,38,,,SE,3,,,62,53,,425,0.12,98.1,46.6,
SJ_VALLEY.A,20050327,2359,0.38,,62,44,,,W,5,,,60,55,,304,0.08,98.5,74.6,
SJ_VALLEY.A,20050328,2359,0.10,,60,46,,,W,6,,,60,55,,341,0.10,93.7,63.0,
SJ_VALLEY.A,20050329,2359,0.09,,61,45,,,SW,5,,,59,54,,257,0.07,94.5,66.7,
SJ_VALLEY.A,20050330,2359,0.00,,67,41,,,SE,4,,,63,52,,548,0.16,95.5,41.6,
SJ_VALLEY.A,20050331,2359,0.00,,76,37,,,SE,3,,,65,53,,552,0.17,98.8,33.5,
SJ_VALLEY.A,20050401,2359,0.00,,76,40,,,SE,4,,,66,55,,557,0.18,94.5,40.2,
SJ_VALLEY.A,20050402,2359,0.00,,65,39,,,SE,4,,,63,55,,419,0.12,95.0,60.0,
SJ_VALLEY.A,20050403,2359,0.41,,61,43,,,W,5,,,62,55,,361,0.10,94.2,60.3,
SJ_VALLEY.A,20050404,2359,0.00,,61,41,,,W,4,,,63,54,,550,0.15,93.9,58.7,
SJ_VALLEY.A,20050405,2359,0.00,,73,38,,,SE,3,,,65,54,,558,0.17,98.9,42.0,
SJ_VALLEY.A,20050406,2359,0.00,,71,41,,,NW,5,,,65,55,,497,0.16,99.2,52.0,
SJ_VALLEY.A,20050407,2359,0.09,,60,42,,,W,7,,,62,57,,396,0.12,94.8,59.6,
SJ_VALLEY.A,20050408,2359,0.06,,59,39,,,W,8,,,60,53,,363,0.11,96.5,68.8,
SJ_VALLEY.A,20050409,2359,0.00,,65,45,,,NW,6,,,64,54,,483,0.15,95.1,51.0,
SJ_VALLEY.A,20050410,2359,0.00,,69,40,,,SW,4,,,66,54,,570,0.17,99.0,46.9,
SJ_VALLEY.A,20050411,2359,0.00,,66,43,,,SE,4,,,67,56,,551,0.16,98.1,62.8,
SJ_VALLEY.A,20050412,2359,0.00,,64,42,,,SE,4,,,67,57,,564,0.16,91.0,51.0,
SJ_VALLEY.A,20050413,1500,0.00,,70,42,,,NW,7,,,,,,513,0.17,94.4,35.7,
SJ_VALLEY.A,20050414,2359,0.00,,67,37,,,SE,4,,,66,54,,637,0.18,91.1,33.0,
SJ_VALLEY.A,20050415,2359,0.05,,73,36,,,SE,3,,,68,55,,632,0.18,99.5,37.6,
SJ_VALLEY.A,20050416,2359,0.04,,74,40,,,E,3,,,69,56,,622,0.18,99.2,54.7,
SJ_VALLEY.A,20050417,2359,0.05,,64,42,,,W,5,,,67,60,,470,0.14,99.5,54.0,
SJ_VALLEY.A,20050418,2359,0.06,,64,36,,,SE,6,,,67,55,,641,0.19,99.9,38.4,
SJ_VALLEY.A,20050419,2359,0.04,,66,36,,,SE,5,,,67,55,,651,0.20,100.0,37.2,
SJ_VALLEY.A,20050420,2359,0.06,,65,37,,,NW,5,,,67,55,,641,0.18,99.8,60.2,
SJ_VALLEY.A,20050421,2359,0.09,,75,42,,,SE,4,,,69,56,,617,0.20,100.0,36.8,
SJ_VALLEY.A,20050422,2359,0.00,,74,41,,,W,4,,,65,57,,361,0.11,97.1,47.2,
SJ_VALLEY.A,20050423,2359,0.15,,62,45,,,W,5,,,63,58,,332,0.09,97.8,74.3,
SJ_VALLEY.A,20050424,2359,0.03,,63,45,,,W,5,,,64,57,,408,0.12,98.3,65.9,
SJ_VALLEY.A,20050425,2359,0.00,,68,44,,,SE,5,,,69,57,,642,0.19,98.3,57.3,
SJ_VALLEY.A,20050426,2359,0.00,,73,41,,,W,4,,,69,57,,590,0.19,98.5,40.3,
SJ_VALLEY.A,20050427,2359,0.19,,67,44,,,SE,3,,,64,59,,320,0.08,98.8,57.6,
SJ_VALLEY.A,20050428,2359,0.15,,65,45,,,W,5,,,66,59,,509,0.15,99.1,57.4,
SJ_VALLEY.A,20050429,2359,0.04,,71,43,,,SE,4,,,68,57,,611,0.19,99.6,48.7,
SJ_VALLEY.A,20050430,2359,0.06,,69,50,,,W,4,,,66,59,,466,0.15,93.7,55.4,
SJ_VALLEY.A,20050501,2359,0.04,,69,46,,,NW,5,,,67,59,,573,0.18,98.3,52.9,
SJ_VALLEY.A,20050502,2359,0.00,,72,43,,,SE,5,,,69,58,,649,0.21,99.3,49.3,
SJ_VALLEY.A,20050503,2359,0.00,,73,43,,,SE,4,,,70,59,,613,0.19,98.9,55.8,
SJ_VALLEY.A,20050504,2359,0.19,,70,49,,,W,3,,,66,61,,287,0.07,99.6,68.9,
SJ_VALLEY.A,20050505,2359,0.25,,65,53,,,W,5,,,67,62,,421,0.12,99.5,71.3,
SJ_VALLEY.A,20050506,2359,0.00,,66,53,,,W,7,,,69,61,,590,0.18,94.8,59.3,
SJ_VALLEY.A,20050507,2359,0.00,,68,51,,,W,5,,,69,61,,524,0.16,96.9,54.8,
SJ_VALLEY.A,20050508,2359,0.10,,65,50,,,W,3,,,66,61,,310,0.08,96.3,69.9,
SJ_VALLEY.A,20050509,2359,0.12,,64,45,,,W,9,,,68,61,,613,0.19,95.9,57.7,
SJ_VALLEY.A,20050510,2359,0.00,,66,42,,,W,5,,,68,58,,622,0.20,95.3,51.7,
SJ_VALLEY.A,20050511,2359,0.02,,70,41,,,W,5,,,69,58,,663,0.21,99.1,53.5,
SJ_VALLEY.A,20050512,2359,0.04,,75,42,,,NW,4,,,71,59,,639,0.21,99.8,51.2,
SJ_VALLEY.A,20050513,2359,0.04,,77,48,,,W,4,,,72,61,,635,0.21,99.2,45.6,
SJ_VALLEY.A,20050514,2359,0.05,,78,48,,,NW,4,,,73,62,,642,0.21,99.1,56.7,
SJ_VALLEY.A,20050515,2359,0.00,,79,53,,,W,5,,,74,65,,551,0.19,99.0,59.4,
SJ_VALLEY.A,20050516,2359,0.00,,69,49,,,W,9,,,73,66,,621,0.21,96.4,57.1,
SJ_VALLEY.A,20050517,2359,0.00,,71,45,,,W,5,,,70,62,,556,0.17,93.7,45.1,
SJ_VALLEY.A,20050518,2359,0.00,,76,51,,,SE,5,,,71,63,,504,0.17,94.9,48.5,
SJ_VALLEY.A,20050519,2359,0.01,,76,56,,,W,6,,,73,64,,585,0.19,100.0,68.8,
SJ_VALLEY.A,20050520,2359,0.04,,75,53,,,NW,5,,,74,65,,671,0.24,98.1,33.4,
SJ_VALLEY.A,20050521,2359,0.04,,81,48,,,SE,4,,,74,63,,677,0.23,97.7,35.7,
SJ_VALLEY.A,20050522,2359,0.05,,82,49,,,SE,4,,,75,64,,671,0.24,93.7,40.0,
SJ_VALLEY.A,20050523,2359,0.05,,80,43,,,SE,4,,,74,64,,685,0.23,98.6,42.7,
SJ_VALLEY.A,20050524,2359,0.00,,83,47,,,NW,5,,,75,64,,676,0.24,98.2,42.2,
SJ_VALLEY.A,20050525,2359,0.08,,77,48,,,NW,6,,,73,64,,658,0.23,99.4,53.5,
SJ_VALLEY.A,20050526,2359,0.06,,75,51,,,NW,5,,,73,65,,551,0.18,99.2,58.8,
SJ_VALLEY.A,20050527,2359,0.06,,74,49,,,NW,5,,,73,65,,575,0.19,100.0,54.5,
SJ_VALLEY.A,20050528,2359,0.04,,71,47,,,W,5,,,71,65,,527,0.18,99.9,46.9,
SJ_VALLEY.A,20050529,2359,0.02,,70,48,,,W,5,,,72,63,,632,0.21,97.7,57.7,
SJ_VALLEY.A,20050530,2359,0.01,,77,46,,,NW,5,,,73,62,,670,0.23,98.7,43.3,
SJ_VALLEY.A,20050531,2359,0.04,,80,50,,,NW,5,,,74,64,,625,0.22,99.3,43.0,
SJ_VALLEY.A,20050601,2359,0.04,,81,49,,,W,4,,,75,65,,680,0.24,98.6,34.2,
SJ_VALLEY.A,20050602,2359,0.05,,75,46,,,SE,5,,,74,64,,682,0.24,99.2,36.5,
SJ_VALLEY.A,20050603,2359,0.00,,74,45,,,W,6,,,,,,674,0.22,99.4,41.1,
SJ_VALLEY.A,20050604,2359,0.00,,71,45,,,W,5,,,72,64,,592,0.19,99.4,54.8,
SJ_VALLEY.A,20050605,2359,0.00,,67,44,,,SW,7,,,72,63,,687,0.23,96.3,40.5,
SJ_VALLEY.A,20050606,2359,0.00,,69,42,,,W,6,,,71,61,,689,0.23,96.1,43.2,
SJ_VALLEY.A,20050607,2359,0.00,,69,41,,,SE,5,,,71,60,,687,0.23,95.0,40.0,
SJ_VALLEY.A,20050608,2359,0.00,,71,47,,,W,6,,,71,63,,540,0.18,96.7,66.0,
SJ_VALLEY.A,20050609,2359,0.00,,72,57,,,W,5,,,72,65,,500,0.16,99.1,66.1,
SJ_VALLEY.A,20050610,2359,0.00,,75,54,,,NW,5,,,74,66,,624,0.21,95.5,51.7,
SJ_VALLEY.A,20050611,2359,0.00,,75,48,,,W,5,,,75,66,,658,0.22,97.9,47.5,
SJ_VALLEY.A,20050612,2359,0.00,,85,44,,,NW,4,,,76,64,,697,0.25,98.2,36.3,
SJ_VALLEY.A,20050613,2359,0.00,,89,50,,,NW,4,,,77,65,,706,0.27,96.5,25.3,
SJ_VALLEY.A,20050614,2359,0.00,,83,49,,,NW,5,,,77,67,,697,0.25,97.1,39.1,
SJ_VALLEY.A,20050615,2359,0.00,,78,45,,,NW,5,,,73,65,,705,0.25,99.1,29.2,
SJ_VALLEY.A,20050616,2359,0.09,,67,47,,,,,,,,,,334,,,,
SJ_VALLEY.A,20050617,2359,0.01,,69,51,,,,,,,,,,578,,,,
SJ_VALLEY.A,20050618,2359,0.00,,71,47,,,,,,,,,,612,,,,
SJ_VALLEY.A,20050619,2359,0.00,,73,50,,,,,,,,,,660,,,,
SJ_VALLEY.A,20050620,2359,0.00,,76,49,,,,,,,,,,685,,,,
SJ_VALLEY.A,20050621,2359,0.00,,76,49,,,,,,,,,,693,,,,
SJ_VALLEY.A,20050622,2359,0.00,,79,50,,,,,,,,,,682,,,,
SJ_VALLEY.A,20050623,2359,0.00,,69,50,,,,,,,,,,631,,,,
SJ_VALLEY.A,20050624,2359,0.00,,72,54,,,,,,,,,,636,,,,
SJ_VALLEY.A,20050625,2359,0.00,,72,51,,,,,,,,,,576,,,,
SJ_VALLEY.A,20050626,2359,0.00,,72,51,,,,,,,,,,644,,,,
SJ_VALLEY.A,20050627,2359,0.00,,74,53,,,,,,,,,,614,,,,
